系列,年,地域,施設タイプ,客室稼働率
全施設,2013,三重県,旅館,31.0
全施設,2013,京都府,シティホテル,82.9
全施設,2013,京都府,ビジネスホテル,80.7
全施設,2013,京都府,リゾートホテル,56.9
全施設,2013,京都府,会社・団体の宿泊所,55.6
全施設,2013,京都府,全体,68.3
全施設,2013,京都府,旅館,41.7
全施設,2013,佐賀県,シティホテル,48.4
全施設,2013,佐賀県,ビジネスホテル,65.0
全施設,2013,佐賀県,リゾートホテル,47.5
全施設,2013,佐賀県,会社・団体の宿泊所,8.6
全施設,2013,佐賀県,全体,50.2
全施設,2013,佐賀県,旅館,40.5
全施設,2013,全国,シティホテル,75.7
全施設,2013,全国,ビジネスホテル,69.5
全施設,2013,全国,リゾートホテル,52.3
全施設,2013,全国,会社・団体の宿泊所,30.4
全施設,2013,全国,全体,55.2
全施設,2013,全国,旅館,33.4
全施設,2013,兵庫県,シティホテル,73.3
全施設,2013,兵庫県,ビジネスホテル,68.2
全施設,2013,兵庫県,リゾートホテル,51.4
全施設,2013,兵庫県,会社・団体の宿泊所,30.3
全施設,2013,兵庫県,全体,52.1
全施設,2013,兵庫県,旅館,35.3
